Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.00042863868         30311                     7071.061860000001         0                         0                         0                         -1.073994254187457        7.434619659843993         
30311.00112308312         30311.00069444444         7056.698861163005         -64.39594139684777        445.7741558672907         -0.4786022816572529       -1.071810252475464        7.419473641458779         
30311.00181752757         30311.00138888889         7013.668956503166         -128.5301560508509        889.7324339882362         -0.9552363419612442       -1.065273141519143        7.37411169553912          
30311.00251197201         30311.00208333333         6942.149019982005         -192.1421982079507        1330.066976337453         -1.42794497918428         -1.054410621457996        7.298724800162438         
30311.00320641646         30311.00277777778         6842.432885682357         -254.9738240536157        1764.985166277519         -1.894788144673808        -1.039268365835244        7.193629879349622         
30311.0039008609          30311.00347222222         6714.930058425526         -316.7700647694397        2192.717152012976         -2.353851679978965        -1.019909826301996        7.059268550111724         
30311.00459530534         30311.00416666667         6560.163894187639         -377.2802848357573        2611.523264855571         -2.803256145779598        -0.9964159393852566       6.896204821987007         
30311.00528974979         30311.00486111111         6378.769265526194         -436.2592208643764        3019.701269053191         -3.241165064364376        -0.9688847799920505       6.705121869221108         
30311.00598419423         30311.00555555556         6171.489756234974         -493.467998822771         3415.593407056616         -3.665792420154188        -0.9374311833103489       6.486818556319506         
30311.00667863867         30311.00625               5939.174413469772         -548.6751258219182        3797.593239533844         -4.075410046664731        -0.9021862539972773       6.242206049276101         
30311.00737308312         30311.00694444445         5682.774043970993         -601.6574460237138        4164.15227170911          -4.468355462934125        -0.8632966482999966       5.972303923786884         
30311.00806752756         30311.00763888889         5403.337034334611         -652.2010465987813        4513.786308180916         -4.843039744152024        -0.8209236467607097       5.678234906886008         
30311.00876197201         30311.00833333334         5102.004725993198         -700.1021062953521        4845.081448243584         -5.197954312811957        -0.7752422072628732       5.361218258729706         
30311.00945641645         30311.00902777778         4780.006432987823         -745.1676914911139        5156.699668512032         -5.531676054318974        -0.7264401765144923       5.022562852435723         
30311.0101508609          30311.00972222222         4438.654190879535         -787.2165092736631        5447.38400962628          -5.84287133989034         -0.6747176180858154       4.663661002443893         
30311.01084530534         30311.01041666667         4079.337269117325         -826.0796182293486        5715.963418599318         -6.130300045868305        -0.6202860362029625       4.285983065126092         
30311.01153974979         30311.01111111111         3703.516427888359         -861.6010856226246        5961.357270133968         -6.392820047563674        -0.5633673642414228       3.891071977241844         
30311.01223419423         30311.01180555555         3312.717899823862         -893.6385794781373        6182.579538829769         -6.629391784059844        -0.5041928456119685       3.48053701539782          
30311.01292863868         30311.0125                2908.527112423341         -922.0638963689245        6378.74257135568          -6.839082248318429        -0.443002040719209        3.056046750769907         
30311.01362308312         30311.01319444444         2492.582197028116         -946.7634354052391        6549.060421913417         -7.021068095650993        -0.3800420113166615       2.61932161639866          
30311.01431752757         30311.01388888889         2066.567337678475         -967.6386241858334        6692.851740962884         -7.174637889455979        -0.3155664940340035       2.172126508758935         
30311.01501197201         30311.01458333333         1632.206007619558         -984.6062897683054        6809.542229115827         -7.299193636036043        -0.2498348800692157       1.716263736467194         
30311.01570641645         30311.01527777778         1191.254127641132         -997.5989632751975        6898.666683427337         -7.394251926425539        -0.1831110525932083       1.253566493173121         
30311.0164008609          30311.01597222222         745.4931561488623         -1006.565115806164        6959.870664695576         -7.459445140400342        -0.1156622938814985       0.7858926840463031        
30311.01709530534         30311.01666666667         296.7230988961507         -1011.46933409031         6992.911791394365         -7.494522904745227        -0.04775836725600364      0.3151185478778979        
30311.01778974979         30311.01736111111         -153.2445677410407        -1012.292443761294        6997.660632207558         -7.499353409800975        0.02032934302233923       -0.1568683733940188       
30311.01848419423         30311.01805555556         -602.5940321493066        -1009.031578131748        6974.101160686185         -7.47392397084887         0.08832880878771783       -0.6281767064756182       
30311.01917863867         30311.01875               -1049.512289692168        -1001.700183824566        6922.33076487595          -7.418340744966212        0.1559684720517399        -1.096918508275353        
30311.01987308312         30311.01944444445         -1492.196255313158        -990.3279587399992        6842.559835854846         -7.332828131637561        0.2229783589986983        -1.561216067984678        
30311.02056752756         30311.02013888889         -1928.859841571621        -974.9607265037904        6735.110950790774         -7.217728219776179        0.2890910734474415        -2.019208736599818        
